Scenario,ReturnPeriod,Climate,Maintenance,Region,Mode,Asset,Baseline_Value,RingBunds_Value,Reduction_Absolute,Reduction_Percentage
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,buildHigh,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,telecom,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,electric,540,540,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,railways,210,210,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,hospitals,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,bhu,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,schools,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,roads,510,510,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,hydraulic,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,crop,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,buildLow56,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,buildLow44,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,buildHigh,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,telecom,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,electric,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,railways,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,hospitals,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,bhu,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,schools,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,roads,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Dmg,hydraulic,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,crop,19070.82,19070.82,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,buildLow56,1267560,1267560,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,buildLow44,995940,995940,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,buildHigh,291600,291600,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,telecom,10,10,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,electric,45360,45360,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,railways,6750,6750,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,hospitals,1,1,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,bhu,1,1,0,0.00
2.3_future_perfect,2.3,future,perfect,Jamshoro,Exp,schools,10,10,0,0.00
